# 
# This file contains the parameter values of the Design Points successfully updated by Ansys Workbench.
# Project name: CFD_Wing
# Creation date: 09/20/2023 14:12:33
# 
# 09/20/2023 14:12:33
# The parameters defined in the project are:
# ,P5 - drag-op,P4 - lift-op,P9 - XYPlane.V9 [m],P8 - XYPlane.V8 [m],P7 - XYPlane.H7 [m],P6 - XYPlane.H6 [m]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P5,P4,P9,P8,P7,P6
DP 0,0.0030614542,0.086362744,2.25,2.25,3.878,2.25
DP 1,0.0030662268,0.088235195,2,2,3.628,2
DP 2,0.0033598194,0.10068664,1,1,2.628,1
# 
# A non parametric change occurred and invalidated design point results.
# 09/20/2023 14:27:36
# 
DP 0,0.029554009,0.7181074,0.36,0.36,1.8446,0.2166
DP 1,0.011324624,0.34481458,1,1,2.628,1
DP 2,0.010276176,0.30429148,2,2,3.628,2
DP 3,0.010197199,0.30180786,2.1,2.1,3.728,2.1
DP 4,0.0098964686,0.2956998,4,4,5.628,4
DP 5,0.0097078343,0.29510637,8,8,9.628,8
# 
# A non parametric change occurred and invalidated design point results.
# 09/20/2023 15:01:49
# 
# 
# 09/20/2023 15:24:51
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P5 - drag-op,P4 - lift-op,P6 - Mesh Element Size [m]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P5,P4,P6
DP 0,0.010202088,0.30163612,0.06
DP 1,0.010368878,0.29646146,0.05
DP 2,0.010249035,0.29697207,0.04
DP 3,0.010179619,0.29893267,0.03
# 
# A non parametric change occurred and invalidated design point results.
# 09/20/2023 16:05:42
# 
# 
# 09/20/2023 16:07:56
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P5 - drag-op,P4 - lift-op,P6 - Mesh Element Size [m]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P5,P4,P6
DP 0,0.010202088,0.30163612,0.06
DP 1,0.010368878,0.29646146,0.05
DP 2,0.010249035,0.29697207,0.04
DP 3,0.010179619,0.29893267,0.03
DP 4,0.0094928543,0.30102427,0.01
# 
# A non parametric change occurred and invalidated design point results.
# 09/26/2023 14:08:10
# 
# 
# 09/26/2023 14:46:23
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P5 - drag-op,P4 - lift-op,P6 - Mesh Element Size [m],P10 - XYPlane.H6 [m],P8 - Inflation Maximum Layers,P9 - Mesh Nodes,P11 - XYPlane.H7 [m],P12 - XYPlane.V8 [m],P13 - XYPlane.V9 [m]
# 
# The following header line defines the name of the columns by reference to the parameters.
# ,P5 - drag-op,P4 - lift-op,P14 - Mesh Element Size [m],P13 - XYPlane.V9 [m],P15 - Face Sizing Element Size [m],P9 - Mesh Nodes,P12 - XYPlane.V8 [m],P10 - XYPlane.H6 [m],P11 - XYPlane.H7 [m]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P5,P4,P14,P13,P15,P9,P12,P10,P11
DP 0,0.016968328,0.24687503,0.5,6,0.06,14231,6,6,18
DP 1,0.01854497,0.23978103,0.5,6,0.08,10306,6,6,18
DP 2,0.015544442,0.25375241,0.5,6,0.05,17489,6,6,18
DP 3,0.014040111,0.26953092,0.5,6,0.04,23574,6,6,18
DP 4,0.012465092,0.28641794,0.5,6,0.03,35299,6,6,18
DP 5,0.010974332,0.26555524,0.5,6,0.02,93163,6,6,18
DP 6,0.0096322363,0.26390879,0.5,6,0.01,226459,6,6,18
DP 7,0.015544442,0.25375241,0.5,6,0.05,17489,6,6,18
DP 7,0.0092090123,0.26414622,0.5,6,0.005,845227,6,6,18
DP 8,0.052811238,-0.051491521,1,6,0.9,1485,6,6,18
DP 9,0.052862299,-0.052154722,1,6,0.8,1461,6,6,18
DP 11,0.058808479,0.07716842,1,6,0.6,1521,6,6,18
DP 12,0.058425785,0.077173695,1,6,0.5,1443,6,6,18
DP 13,0.058183487,0.18930081,1,6,0.4,1863,6,6,18
DP 14,0.037599032,0.41303056,1,6,0.3,2279,6,6,18
DP 15,0.031511908,0.36366941,1,6,0.2,3047,6,6,18
DP 16,0.019873812,0.24711506,1,6,0.1,6339,6,6,18
# 
# 09/27/2023 14:09:04
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P5 - drag-op,P4 - lift-op,P14 - Mesh Element Size [m],P13 - XYPlane.V9 [m],P15 - Face Sizing Element Size [m],P9 - Mesh Nodes,P12 - XYPlane.V8 [m],P10 - XYPlane.H6 [m],P11 - XYPlane.H7 [m]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P5,P4,P14,P13,P15,P9,P12,P10,P11
DP 0,0.010974332,0.26555524,0.5,6,0.02,93163,6,6,18
# 
# A non parametric change occurred and invalidated design point results.
# 10/03/2023 14:59:46
# 
# 
# A non parametric change occurred and invalidated design point results.
# 10/03/2023 15:49:09
# 
# 
# 10/03/2023 16:45:49
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P14 - Mesh Element Size [m],P13 - XYPlane.V9 [m],P15 - Face Sizing Element Size [m],P9 - Mesh Nodes,P12 - XYPlane.V8 [m],P10 - XYPlane.H6 [m],P11 - XYPlane.H7 [m],P18 - drag-op,P19 - lift-op,P20 - Rotate1.FD9 [degree],P23 - drag_force-op [N],P22 - lift_force-op [N]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P14,P13,P15,P9,P12,P10,P11,P18,P19,P20,P23,P22
DP 1,0.5,6,0.02,61799,6,6,18,0.030863863,-0.12271465,5,567.34748,-2255.7724
# 
# A non parametric change occurred and invalidated design point results.
# 10/03/2023 16:48:12
# 
# 
# A non parametric change occurred and invalidated design point results.
# 10/04/2023 13:11:23
# 
# 
# 10/04/2023 13:19:22
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P14 - Mesh Element Size [m],P13 - XYPlane.V9 [m],P15 - Face Sizing Element Size [m],P9 - Mesh Nodes,P12 - XYPlane.V8 [m],P10 - XYPlane.H6 [m],P11 - XYPlane.H7 [m],P18 - drag-op,P19 - lift-op,P23 - drag_force-op [N],P22 - lift_force-op [N],P24 - Rotate1.FD9 [degree]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P14,P13,P15,P9,P12,P10,P11,P18,P19,P23,P22,P24
DP 0,0.5,6,0.02,61732,6,6,18,0.033245723,-0.16707493,122.22628,-614.24285,5
DP 1,0.5,6,0.02,61464,6,6,18,0.012351586,0.26055978,45.410006,957.93537,0
DP 2,0.5,6,0.02,61069,6,6,18,0.02226745,0.72937426,81.865198,2681.509,-5
DP 3,0.5,6,0.02,61530,6,6,18,0.075979816,0.7052052,279.3361,2592.6527,-10
DP 4,0.5,6,0.02,61978,6,6,18,0.24688496,1.4249103,907.66058,5238.6133,-15
DP 5,0.5,6,0.02,59655,6,6,18,0.43752529,1.4888897,1608.5405,5473.8308,-20
# 
# A non parametric change occurred and invalidated design point results.
# 10/04/2023 13:39:01
# 
# 
# 10/04/2023 13:44:37
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P14 - Mesh Element Size [m],P13 - XYPlane.V9 [m],P15 - Face Sizing Element Size [m],P9 - Mesh Nodes,P12 - XYPlane.V8 [m],P10 - XYPlane.H6 [m],P11 - XYPlane.H7 [m],P18 - drag-op,P19 - lift-op,P23 - drag_force-op [N],P22 - lift_force-op [N],P24 - Rotate1.FD9 [degree]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P14,P13,P15,P9,P12,P10,P11,P18,P19,P23,P22,P24
DP 0,0.5,6,0.02,61799,6,6,18,0.029558213,-0.12553178,108.66933,-461.51148,5
DP 1,0.5,6,0.02,61464,6,6,18,0.012003325,0.2707131,44.129641,995.26356,0
DP 2,0.5,6,0.02,61421,6,6,18,0.022198965,0.72878098,81.613417,2679.3279,-5
DP 3,0.5,6,0.02,61399,6,6,18,0.076812414,0.71248091,282.39711,2619.4014,-10
DP 4,0.5,6,0.02,61180,6,6,18,0.28965823,1.5392465,1064.9144,5658.9651,-15
DP 5,0.5,6,0.02,60296,6,6,18,0.46596451,1.5700795,1713.0959,5772.3211,-20
# 
# A non parametric change occurred and invalidated design point results.
# 10/04/2023 14:11:15
# 
# 
# 10/04/2023 14:32:13
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P14 - Mesh Element Size [m],P13 - XYPlane.V9 [m],P15 - Face Sizing Element Size [m],P9 - Mesh Nodes,P12 - XYPlane.V8 [m],P10 - XYPlane.H6 [m],P11 - XYPlane.H7 [m],P26 - drag-op,P29 - lift-op,P27 - drag_force-op [N],P28 - lift_force-op [N],P24 - Rotate1.FD9 [degree]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P14,P13,P15,P9,P12,P10,P11,P26,P29,P27,P28,P24
DP 0,0.5,6,0.02,61799,6,6,18,0.030305872,-0.11694993,120.27732,-464.14846,-5
DP 1,0.5,6,0.02,61464,6,6,18,0.011510635,0.27297324,45.683168,1083.3706,0
DP 2,0.5,6,0.02,61421,6,6,18,0.021171181,0.71354419,84.023744,2831.8994,5
DP 3,0.5,6,0.02,61399,6,6,18,0.07721743,0.70455858,306.45894,2796.2375,10
DP 4,0.5,6,0.02,61180,6,6,18,0.25735692,1.4792394,1021.3928,5870.7746,15
DP 5,0.5,6,0.02,60296,6,6,18,0.68998753,1.7751128,2738.4082,7045.031,20
# 
# A non parametric change occurred and invalidated design point results.
# 10/04/2023 14:55:26
# 
# 
# A non parametric change occurred and invalidated design point results.
# 10/05/2023 13:25:35
# 
# 
# 10/05/2023 13:49:27
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P14 - Mesh Element Size [m],P13 - XYPlane.V9 [m],P15 - Face Sizing Element Size [m],P9 - Mesh Nodes,P12 - XYPlane.V8 [m],P10 - XYPlane.H6 [m],P11 - XYPlane.H7 [m],P31 - drag-op,P29 - lift-op,P30 - drag_force-op [N],P28 - lift_force-op [N],P32 - Rotate1.FD9 [degree]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P14,P13,P15,P9,P12,P10,P11,P31,P29,P30,P28,P32
DP 0,0.5,6,0.02,61670,6,6,18,0.032772213,-0.12940591,130.06567,-513.58346,-5
DP 1,0.5,6,0.02,61335,6,6,18,0.011498516,0.27335725,45.635069,1084.8946,0
DP 2,0.5,6,0.02,61292,6,6,18,0.021577969,0.7221056,85.638195,2865.8776,5
DP 3,0.5,6,0.02,61270,6,6,18,0.077876785,0.7197685,309.07576,2856.6022,10
DP 4,0.5,6,0.02,61051,6,6,18,0.25687589,1.4723449,1019.4837,5843.4118,15
DP 5,0.5,6,0.02,60167,6,6,18,0.49831704,1.6178807,1977.7103,6421.0114,20
# 
# A non parametric change occurred and invalidated design point results.
# 10/05/2023 14:07:01
# 
DP 0,0.5,6,0.02,61670,6,6,18,0.031176425,-0.11797294,123.73235,-468.20853,-5
DP 1,0.5,6,0.02,61335,6,6,18,0.011255197,0.28198139,44.669393,1119.1219,0
DP 2,0.5,6,0.02,61292,6,6,18,0.021970789,0.70029675,87.19721,2779.3232,5
DP 3,0.5,6,0.02,61270,6,6,18,0.077075765,0.6790818,305.89669,2695.1257,10
DP 4,0.5,6,0.02,61051,6,6,18,0.17569918,0.68674291,697.31123,2725.531,15
DP 5,0.5,6,0.02,60167,6,6,18,0.28688682,0.74029631,1138.5904,2938.0726,20
# 
# A non parametric change occurred and invalidated design point results.
# 10/05/2023 14:19:52
# 
DP 0,0.5,6,0.02,61670,6,6,18,0.031101917,-0.11647282,123.43664,-462.25491,-5
DP 1,0.5,6,0.02,61335,6,6,18,0.011545384,0.27409209,45.821081,1087.811,0
DP 2,0.5,6,0.02,61292,6,6,18,0.021837403,0.71929974,86.667831,2854.7418,5
DP 3,0.5,6,0.02,61270,6,6,18,0.081708055,0.71518128,324.28122,2838.3966,10
DP 4,0.5,6,0.02,61051,6,6,18,0.26850402,1.509999,1065.6332,5992.8527,15
DP 5,0.5,6,0.02,60167,6,6,18,0.53089419,1.6728851,2107.0018,6639.3115,20
# 
# A non parametric change occurred and invalidated design point results.
# 10/05/2023 15:00:36
# 
# 
# 10/05/2023 15:18:31
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P14 - Mesh Element Size [m],P13 - XYPlane.V9 [m],P15 - Face Sizing Element Size [m],P9 - Mesh Nodes,P12 - XYPlane.V8 [m],P10 - XYPlane.H6 [m],P11 - XYPlane.H7 [m],P31 - drag-op,P29 - lift-op,P30 - drag_force-op [N],P28 - lift_force-op [N],P32 - Rotate1.FD9 [degree]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P14,P13,P15,P9,P12,P10,P11,P31,P29,P30,P28,P32
DP 1,0.5,6,0.02,93034,6,6,18,0.010938178,0.26372137,43.411213,1046.6519,0
DP 2,0.5,6,0.02,93062,6,6,18,0.017271222,0.76695981,68.545666,3043.8941,5
DP 3,0.5,6,0.02,93178,6,6,18,0.042072179,0.96807941,166.97519,3842.0934,10
DP 4,0.5,6,0.02,93362,6,6,18,0.54377374,1.956859,2158.1179,7766.3413,15
DP 5,0.5,6,0.02,93350,6,6,18,0.73233349,1.6694993,2906.4699,6625.8742,20
# 
# 10/06/2023 15:04:17
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P14 - Mesh Element Size [m],P13 - XYPlane.V9 [m],P15 - Face Sizing Element Size [m],P9 - Mesh Nodes,P12 - XYPlane.V8 [m],P10 - XYPlane.H6 [m],P11 - XYPlane.H7 [m],P31 - drag-op,P29 - lift-op,P30 - drag_force-op [N],P28 - lift_force-op [N],P32 - Rotate1.FD9 [degree]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P14,P13,P15,P9,P12,P10,P11,P31,P29,P30,P28,P32
DP 6,0.5,6,0.02,93362,6,6,18,0.56146245,1.9403152,2228.3204,7700.6825,15
# 
# 10/06/2023 15:36:54
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P14 - Mesh Element Size [m],P13 - XYPlane.V9 [m],P15 - Face Sizing Element Size [m],P9 - Mesh Nodes,P12 - XYPlane.V8 [m],P10 - XYPlane.H6 [m],P11 - XYPlane.H7 [m],P31 - drag-op,P29 - lift-op,P30 - drag_force-op [N],P28 - lift_force-op [N],P32 - Rotate1.FD9 [degree]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P14,P13,P15,P9,P12,P10,P11,P31,P29,P30,P28,P32
DP 1,0.5,6,0.02,92562,6,6,18,0.011748055,0.020929983,46.625435,83.06648,-2.5
DP 2,0.5,6,0.02,93034,6,6,18,0.0098461699,0.29346418,39.077274,1164.6945,0
DP 3,0.5,6,0.02,93030,6,6,18,0.011909266,0.53093611,47.265248,2107.1682,2.5
DP 4,0.5,6,0.02,93062,6,6,18,0.01817814,0.7583194,72.145024,3009.6022,5
DP 5,0.5,6,0.02,93122,6,6,18,0.03617808,0.92088712,143.58281,3654.7976,7.5
DP 6,0.5,6,0.02,93178,6,6,18,0.042737785,0.97410564,169.61683,3866.0101,10
DP 7,0.5,6,0.02,93722,6,6,18,0.1952611,0.97811171,774.94819,3881.9093,12.5
DP 8,0.5,6,0.02,93362,6,6,18,0.5647303,1.9483123,2241.2899,7732.4213,15
DP 9,0.5,6,0.02,93350,6,6,18,0.65181754,1.4624917,2586.9199,5804.3067,20
DP 0,0.5,6,0.08,10177,6,6,18,0.018304341,0.24248803,72.645887,962.38144,0
DP 1,0.5,6,0.03,35170,6,6,18,0.012302772,0.28805285,48.826984,1143.2181,0
